Source,Target,OSM ID,Highway,Oneway,Reversed,Length
208773285,208721919,19894751,residential,False,True,70.071
208773296,3397213423,115790308,tertiary,True,False,81.389
208773296,229561222,"[465414048, 329384201]",tertiary,False,True,96.388
208778425,3431833804,455083996,primary,False,True,45.122
208778431,29795322,19895959,residential,True,False,45.344
208778431,208778425,19898458,unclassified,True,False,93.378
229561222,1574810835,143923607,residential,False,False,39.385999999999996
229561222,208773296,"[465414048, 329384201]",tertiary,False,False,96.388
229561222,29793978,329384201,tertiary,False,True,79.057
262255346,2889868394,108603837,residential,False,True,109.426
262255346,29796361,108599846,residential,True,False,38.751
425442757,1245728019,36519031,residential,False,False,107.423
425442757,1245728002,36519031,residential,False,True,84.94800000000001
425442757,208756336,356391516,residential,False,False,62.498999999999995
425952522,425952524,36597164,unclassified,False,False,123.48
425952524,425952522,36597164,unclassified,False,True,123.48
425952524,29794282,977073826,residential,True,False,33.266999999999996
425952528,425952524,977073826,residential,True,False,58.849999999999994
1245728002,425442757,36519031,residential,False,False,84.94800000000001
1245728002,29239090,794905835,tertiary,True,False,60.913999999999994
1245728019,425442757,36519031,residential,False,True,107.423
1315075432,208765229,48921999,tertiary,False,False,113.457
1315075432,31776141,274693147,tertiary,True,False,192.82699999999997
1574810835,229561222,143923607,residential,False,True,39.385999999999996
2889868393,208687484,1041940069,residential,True,False,152.983
2889868393,2889868394,1042770937,residential,True,False,54.474
2889868394,2889868396,19891899,residential,True,False,73.763
2889868394,262255346,108603837,residential,False,False,109.426
2889868395,2889868396,329384213,tertiary,True,False,53.624
2889868395,2889868393,329384214,residential,True,False,75.039
2889868396,26235236,329384213,tertiary,True,False,11.411
3191564091,208773285,19894751,residential,False,True,176.47499999999997
3191564091,32125078,165325231,secondary,True,False,157.05200000000002
3191564091,26235237,165325606,secondary,True,False,76.255
3191564091,2889868393,551006099,residential,True,False,79.321
3391132734,29793978,132093451,secondary,True,False,82.949
3391132734,3397213423,"[465416577, 465416575]",tertiary,True,False,175.52500000000003
3397213423,26235238,465416566,tertiary,True,False,170.46500000000003
3397213423,3431833846,680327781,tertiary,True,False,70.675
3431833804,29795322,219132794,tertiary,True,False,93.314
3431833804,208778425,455083996,primary,False,False,45.122
